protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	
NP_055726.3	-1.3281985464997776	-0.028901954398292802	0.35638436365571574	0.4793192753656441	0.27304500276465604	0.19811064921513294	-0.02143741466510273	-0.220670361861127	-0.04218321567726019	0.16455337409942178	-0.14701006625253255	-0.06916455346296049	0.0723211144448197	0.08252758465854124	0.05688402845612122	0.011373091963597919	0.06560996170680088	-0.21152257877907293	-0.15160710157677446	0.16202206608096106	-0.04852177159132908	0.07998356146163163	0.0612755649383769	0.15208122552523365	0.2990320078083552	-0.04957957764907875	-0.16791997386429902	0.2146348879208823	-0.04719552519360115	-0.06317049701958993	0.2750900860300455	0.26069148846552215	0.04260357878240161	0.11480644954082718	-0.004378885916966174	0.2291156264762769	0.15127396107154226	-0.005056771944505546	-0.19840759214514664	0.000774773446406214	
NP_005148.2	0.6068318244719104	-0.7461326007349354	0.4122296746494808	-0.7469539026498159	0.09883160263435899	-0.2048020153604075	-0.1491856114828828	-0.11001423126626302	0.15687326358636336	-0.25593781299217766	0.012216048969339144	0.20223148974241092	-0.0388825447469596	-0.15918999454519703	0.005897425118079103	-0.06886083223862609	0.22768624996161566	0.05761315584903873	-0.024232621360990803	-0.4768109902310879	0.16203086853577228	0.2339039973887241	0.06545537629012574	0.1616075488519709	-0.344520769043527	0.12008689190183697	0.2591064153377912	0.017535212936389797	0.24292425470304638	0.024026822810037488	-0.0006460684988835877	-0.11682859683741173	0.41552950081235546	0.09831435757495906	-0.11549088939058129	-0.049263826477864384	0.16823266248117064	0.050793652702721646	-0.13388117697008023	0.029175800505188056	
NP_005149.3	-0.6909726298509222	-0.44519510010761376	0.44309343063805723	-0.5400925403093787	-0.012432650551275293	-0.19845944521839073	-0.07872498689649049	-0.24877662282716084	0.16313153934715688	0.09659179920994156	0.06942947852592539	-0.05462381812546473	-0.052288115188405114	0.0317579460953925	-0.10615643896322564	-0.20880206130944545	0.30212311121103785	-0.11493360584235258	-0.1540583584092427	-0.18503028689475934	0.1749317376921605	0.1725998652792829	-0.180514784141169	-0.17404704283175748	0.028290562640847148	0.10345807048718061	0.02586471380458313	0.01034516320825123	0.02389516201140733	0.1441369643106012	-0.11197912755126194	-0.06429578136986176	0.0575122592034454	-0.002999354313505709	-0.10855553226932335	0.07698550779507084	0.139802439993202	0.1546040034707811	0.008308123772271714	-0.16133226862560604	
NP_001096.1	-0.1598917431389139	-0.4038218940769384	0.5420910314149582	0.36166844455135017	0.048172097358468585	0.1756078696429286	0.44072986624610255	-0.5549926759749058	-0.18763231025252677	-0.2309153829421568	-0.301729084364517	0.22428120755524253	0.27463863569451247	-0.36149868923399836	-0.0006972309031199097	0.20545936984353347	-0.1295413553580963	-0.09410825606177647	0.18575977813449082	0.40763728523910986	0.8267936527083264	0.31519681442489306	-0.022976752937396705	0.007647505858417323	-0.33660005557649064	-0.276395502215489	-0.03812364750538264	-0.014323073389430107	-0.10664573508897905	-0.0058612792020973975	-0.27481377869935936	0.31452050609883286	0.0376985273975357	-0.11054707694519594	-0.07966888566598454	-0.04967197177048843	-0.15436177206740728	0.10488566834373317	0.5181789101711682	0.43441197607853865	
NP_004293.1	-1.1389133504627982	-0.4053423506945562	-0.09472882958441942	0.19680149061841465	0.5139910714399818	0.026555191280660872	0.08835528321868083	-0.0789240036044999	-0.41247681278938836	0.07661776600978033	-0.031176569573945555	0.12142558693109982	0.36739090058772994	-0.35800717416173605	0.3214186803997453	-0.18512395063742995	0.05558245795828879	0.24647660808377295	-0.023373957443764266	0.38950324883703985	0.3925469714730368	0.20575810124638919	-0.07654536825355085	0.061629822553847725	-0.0013003879669590697	-0.13100825095395455	-0.38867814625673913	-0.12037611990867153	0.1366876311057761	-0.027088165042961885	-0.03861846242336727	-0.23050479441972027	-0.12307126890831342	-0.03192238015656255	0.16283861331030952	0.0433039326161527	0.16347293254539022	-0.16451123990170508	0.31559751915343653	0.10711019093404076	
NP_001607.1	-1.2206998761766976	-0.038899314026264814	-0.08950125029725495	0.276142581650324	0.29408252036247945	0.10989279530310614	0.15129201483191151	-0.11081737434828623	-0.14751660107426645	-0.13117795378193742	-0.4064399763140246	0.0691465623419955	-0.018562134200896706	-0.31804262499292946	0.1800728457714638	-0.18721070741884066	-0.11576004369806707	0.2388216621913863	-0.02317733291098181	0.2595933456672744	0.30904600074158023	0.379836554661359	-0.00317511979258452	0.24528508487751563	0.1722458970848259	0.20750484244749737	-0.20692765782504105	-0.011540208217704141	0.30470621945628246	-0.1788840340158838	-0.16986157658230314	0.21901509427130972	0.11192135064985671	-0.1792646232950676	-0.1613398455582283	0.18614386971377608	0.09618659095589681	0.23897171846490073	0.16012373844368302	-0.056875067724480644	
NP_001097.2	-0.10688014580453364	-0.49128033714859576	-0.19521245118173916	0.4152808750743892	0.2814910730289601	0.2512911446353127	0.026450352856271977	-0.3003193682194374	-0.13228011613670596	-0.35656467747893544	-0.595363325059513	0.10857516187818733	-0.05844209699322186	-0.1178463294342796	0.11161985921521131	-0.08867370129411793	0.07510790399335038	0.3320512055575216	0.13410914121179693	0.034935131348837634	0.15159052555673455	0.2777972001791066	0.23682366758720827	-0.12010220386968229	-0.1807094563446786	0.34195961910644757	-0.2794290554490584	-0.06408393070114794	0.25505279835624683	-0.4622481290066776	-0.3277159699201271	0.2916785077551838	0.3281694080541207	-0.4478499420462113	0.17220758981879136	0.274361857917664	-0.046037580266556986	0.2724506705722637	-0.01899682858909026	-0.05477684612218125	
NP_000011.1	-1.7335422472752602	0.0015566445205377523	-0.16106190920290211	0.12170042992077573	0.28253974053699565	0.00829406059815468	0.40268230981452385	-0.004274626297746138	0.023070109989923485	-0.008633812342851016	0.0891228015256209	0.2165039335987402	0.49533566589942307	-0.2643101294310843	0.2269134676843049	0.14111796514242841	-0.062339851170798224	-0.04104824817196149	-0.26906698135368673	0.22172142301570047	0.43953600888396965	0.06251357608839934	0.16304396201258603	0.034813512909471815	0.04543358716942203	-0.07798626533877384	0.08907812854040391	0.04038361499836212	-0.05511301123929694	-0.15820058125753525	-0.23372541447990772	-0.10077321532764484	0.07723583690108447	-0.13857082608892055	0.23169013598114208	0.035357025365952977	0.15512155439166914	0.06840358562976148	0.17353118639507606	-0.13484177374584091	
NP_064632.2	0.2747674509823757	-1.0027471524424312	-0.5751232039496935	0.15681296089657523	0.3756917680897162	-0.07922167365088931	0.1870636827397064	-0.061567871060691004	0.18800777242522926	-0.14245560027557783	0.07109010796618652	-0.5363677337604483	0.24838578415516507	0.012979178120900376	-0.07185172170570894	-0.0760719833613263	-0.27682110721042974	0.034418875847914226	-0.14464765538898594	0.062186351853286435	0.09464830645726603	-0.4892958465334921	0.1822815242471784	0.05655345983312607	0.22958782586870863	0.16229163092830337	-0.1081613176590315	-0.047500034430770006	0.3000778283649893	0.19980411862136493	0.02375166686440388	-0.30516204080098436	0.15949790420719115	-0.0732694720693416	0.1435139632782711	-0.0048115772118048706	0.021675657088765322	0.1073023293695756	-0.3243299617595681	0.2603605153583395	
NP_079152.3	-0.7850045594014948	-0.7293849587504001	-0.7467062959646361	-0.04514961059205428	0.443108195752358	-0.2643998434017515	0.16209435318195775	-0.15065029599084587	0.5242906652814111	-0.0670590715387261	0.03577205413624358	0.020487859893843496	0.19591825403569701	0.32857629025670504	-0.05124315885826711	-0.016800359973062718	0.1166318524517428	-0.17379366584555567	-0.1458933053349271	-0.12492594421829842	0.45922943578735037	-0.5330630515002318	0.1675470457016181	0.024256635785730098	0.054213374770578464	-0.26340549829738275	0.10041436691018092	0.22672590902846187	-0.002503863730409656	0.0017425096752471008	0.1527058880883161	-0.0059784599694488886	0.23703815751419513	-0.04424642762304457	0.05415003439021179	-0.06437321735727929	0.2070480461076225	0.1161469609529969	-0.016820566653388533	0.15809149474842055	
