protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	pc.11	pc.12	pc.13	pc.14	pc.15	pc.16	pc.17	pc.18	pc.19	pc.20	pc.21	pc.22	pc.23	pc.24	pc.25	pc.26	pc.27	pc.28	pc.29	pc.30	pc.31	pc.32	pc.33	pc.34	pc.35	pc.36	pc.37	pc.38	pc.39	pc.40	
NP_055726.3	0.014219545836995705	0.012265349007234267	-0.00992739691931956	-0.01872388211920214	0.011491517490007201	0.014660891460065443	0.023645586190896774	0.0012237138246495045	0.005578570788997234	0.008317508420143435	0.01117427152689459	0.01030007411850525	-0.011082694046563995	-0.005737921439456052	-0.00261121308298141	0.0009782224982092063	0.011264397713348072	0.0016748923359175484	0.00595439392127268	-0.0033412161108667972	-0.0033697588331709732	0.006825995617056101	0.004684204635083408	-0.0023354934062246985	-0.005758346869152315	-0.006505497690275432	-0.003747797669574209	0.0036948038274560984	-0.0006987000156473667	-0.0037754689334974422	0.005858118461012833	0.006163277375609252	0.0042428538932639285	0.003293004181435633	-0.00387427672758105	-0.007163197559559906	-0.0009878145207017626	0.004108445987295707	-0.0013151656607959322	0.002382370088724273	
NP_005148.2	0.0107436814237559	0.014673426318096776	7.731755360270875e-05	-0.0043945922548796	-0.007054399774390304	-0.0005229116179084824	-0.001880411339100399	0.005334611072832513	-0.001352872113991747	0.0018992595603889572	-0.006404787571797394	-0.003440880686984434	-0.002093297998750861	0.00653829347783559	0.002545939690528409	-0.00041667921175009444	-0.0015681173138635178	0.001467344776589196	0.0017752056125143229	-0.0031679078532033376	-0.00422339292718972	0.0010095198960254534	0.0005469550243707425	-0.0009668007057609868	-0.0007011761927444823	0.0008569741187687157	0.002325249594584949	0.0008678514920931345	-0.00203269052747397	-0.0008002088428002723	-0.0025651082481817694	0.0012521423658155572	-0.001545861891616943	-0.003702409769206493	-0.001981605474455456	0.0017768944705460771	0.0013715683510507443	-0.00042875716340500046	-0.004919708737676145	0.00439809407780967	
NP_005149.3	0.010759986939344485	0.010211016725736816	-0.0032856489929944926	-0.0065859702806929515	-0.00023549441979794163	-0.0002973525671462649	-0.0031687770031425047	0.005199295555300803	0.0013710836138573752	0.003666582439595734	-0.004244806296967389	-0.0027907084676988122	-0.0019525886945246963	0.00306823896835297	0.004729710972517712	0.001984118304308077	-0.0037560653992962448	0.005096830306731885	0.0025229825577326717	-0.0023541096102303156	-0.00039541548970717556	0.0014065744714585769	-0.001156877613580302	-0.00047520102951351806	0.003567046843852239	0.0018185130598707881	0.0024536261799334258	0.004009899165432754	-0.0002616443602381622	0.00036992112052614586	-0.0024462806918513743	0.0026167651003809757	-0.0021218159839958483	-0.0007117134400403322	-0.001113421924054728	-6.630687806932439e-05	-0.0030870653561528515	-0.001843958978180315	-0.005498255292647882	0.0036765340762943944	
NP_001096.1	-0.00104251475021332	-0.0033865723299963536	-0.01509883650391046	0.0036142563583360953	0.0056799206656440475	-0.00587715011282256	-0.002573815511343788	-0.005998077671847545	0.004252500880320215	-0.005110477915451632	0.0006802396403525402	-0.005503475217471193	0.0002677352421406926	0.002827579222954642	-0.008968236169152722	-0.0009444389286312172	0.009260774180616983	-0.008235184823389639	-0.0018799328319741115	0.0002213738692263029	-0.0003585017207596798	0.006275055566088477	0.0010589617941643115	-0.009330769796324306	0.003471229867670199	-0.004258276785273955	0.0002590919373225504	0.0031966079053053517	0.0022398503459939148	-0.004303300210913256	-0.0003944763498096741	-0.004463670696218335	0.00047647847261820793	-0.0030005007633414856	0.0036466288829737825	-0.00174570394688765	0.0017448899283678718	0.004610632069069168	-0.00545731788586924	0.004036449809232235	
NP_004293.1	0.0033700515213887427	-0.005851739425095238	-0.010645662677763094	0.0035153374440936402	0.0002598359691738403	-0.009107019174649381	0.001134030221547063	0.0014393127858678021	-0.0018324348048363978	-0.0036316958949848843	0.005251162513740516	-0.013559184473311465	0.003913716385037103	0.013055466600534842	-0.0013119316762433687	0.0028768157058801903	0.0014400793179191005	-0.012060509697068027	0.0019437770870756614	0.004441035740429532	0.002276023969002858	-0.00020515226025982563	-0.001461635190305499	-0.008436473313794064	0.004948634865763482	-0.006505242279597367	0.00018445794845156616	0.002574645492727943	-7.738400173929752e-05	0.002810025766094874	0.0008085914303006387	-0.007231279896351076	0.00463602546775533	0.008358277669086438	0.0012995329182386884	0.0010594345887849075	0.0017008103477241538	-0.00210483584069243	0.00033938468535550106	-0.0025484908788625366	
NP_001607.1	-0.001494574248797528	-0.006543176967144149	-0.005532013420964351	-0.004240409859838546	-0.0033526973135678904	-0.00040247955994991295	0.00037762800223764407	-0.006501151274005563	0.0019323443793690695	-0.004545034604292522	-0.005935060905450182	-0.0036339101199816823	-0.006119207830793645	0.0011386395431374576	0.0020152628330662586	-0.0017349861375602605	0.0010199769900712404	-0.003290641973442767	-0.0024442591556815066	-0.0032712401890373243	-0.004250335206698702	-0.001673180757700358	0.002978970011604898	-0.0011900756669731992	0.0016054672535868938	0.002504870264120099	-0.0014874062115853924	-0.0032661370528150892	0.006991240194703816	0.003134685052223961	0.003097061860050837	0.0014042328088197324	-0.002871651250085911	0.0033519826360831487	0.011884344772922308	-0.004664224120335597	-0.0027992812772577188	0.002943174798699515	0.0018986214240798935	-0.003835933560557077	
NP_001097.2	0.008123553056012853	-0.007937546379891244	0.0039012564584149094	-0.0048709417030306365	-0.0021050194790173376	-0.006194154086266055	-0.003567245117345509	-0.007019478528485038	0.00685585494886125	-0.004369028691704847	-0.004990872499754327	-0.002723503566509873	-0.0034107748226987586	0.004357218102253607	0.001564487211955469	-0.002925546452812202	0.0035723005504437375	0.0003716033133019746	0.002566537851042794	3.4674639927333136e-05	-0.008598880915029108	-0.006168877777249847	0.006184285418636975	-0.0030926367781707446	0.0013719561605003607	0.001484184996488196	-0.0038516385714625037	-0.0007683205803072818	0.0030149554987149913	0.002020703184587863	-0.0019872402494626193	-0.0021225691670255565	0.0006332543338721946	0.002636712656047059	0.01060664308002715	-0.0022628730717062606	-0.0032466840515302463	0.00469375536930629	0.001221879922572921	-0.002680494858907153	
NP_000011.1	0.010609204814642868	-0.009915680899973266	-0.006872108266930893	0.0064691717434453315	0.0061626089550830924	-0.008140154165873227	0.0038447040780059	-0.0025728017929432024	0.004819085704702766	-0.007800680631398041	-0.0014265532573151706	-0.01265745999699377	-0.0020906157387923724	0.008458989501515414	-0.008386626030515779	-0.007700042364674764	0.005579702599044572	-0.003037221941718471	-0.0028415132033281117	-0.00034866833501852486	-0.002256961118274606	0.0016714052651018551	0.009115631841470765	-0.00804057831699193	0.004836717905964045	-0.0069038226851161144	0.004724520911235748	-0.003667693436749364	0.002572701932140994	0.0009890075898825073	0.002202038386682078	-0.009908316126822149	-0.002746833007526722	-0.0021010332787834486	0.002415087804066137	-8.401603918222103e-05	0.00751784688530506	0.005118339227220313	-0.001385234907654853	0.004138603082719173	
NP_064632.2	0.005234396365228088	-0.008648168170449395	0.00020364831595338887	0.000741669287206171	-0.007647557028403299	-0.0015718665617200647	0.013145330829696687	0.008611175633198635	-0.002958489575432154	0.004774194114066737	-0.0018641128618926404	0.00015015173313594194	0.00150931306852273	-0.0020496549231852844	-0.0016528159934617072	0.003066934631564956	-0.0037307652427518434	0.0017998151820492966	-0.003465519500559829	-0.0025774960669925537	0.002301097953882199	-0.003979554851172299	0.002134493010527703	0.001357694795165495	5.8458900475190197e-05	0.0039528049516870415	-0.0011936797083931057	-0.004465269770356922	0.0031236561086015364	0.0036485374114664155	0.0039924158568262124	-0.007534081357440772	-0.004492339101354535	-0.003928231938900944	0.002628772700989968	-0.0016339432477395352	0.006326579283150035	-0.0016620161594663077	0.0016003890227407214	0.004585897103806798	
NP_079152.3	0.018728613604021085	-0.014403275332499563	0.005676162434295469	0.00295556689349677	0.0009155581273054874	-0.0056272134001106614	0.012568097482293253	0.008691868806046697	0.004485750239526276	0.006950811402757187	0.0009184265489440394	-0.007598305197901914	0.004462773739855694	-0.002647603298317015	-0.002180676826148938	0.0024377088008030756	2.6039986541993675e-05	-0.002607404098044681	-0.006006371928967022	-0.0031416865384603157	0.00025846259719505853	3.707975470848905e-05	0.0043158655349063895	-0.0021282842663008124	0.004948499167104942	0.0007617084053416472	-0.0027581531377613485	-0.005426961404265334	0.0006154514565076801	0.0007792700060560832	0.0032006149154058007	0.0003298413080465156	-0.009545437513258327	-0.002594582199550221	0.004067475199386857	0.0014351940050986633	0.004264550935775559	-0.0035917658021108064	0.006519900573717145	0.004942739322096438	
